State,Year,District,Dem Votes,GOP Votes,D Voteshare,Incumbent,Party
OK,1948,4,53419,20716,0.720563836,1,D
OK,1948,5,95248,45985,0.674403291,1,D
OK,1948,6,47857,17100,0.736748926,1,D
OK,1948,7,39380,10236,0.793695582,1,D
OK,1948,8,42417,30687,0.580228168,1,D
OR,1948,1,45904,88587,0.341316519,-1,R
OR,1948,2,30743,42730,0.418425816,-1,R
OR,1948,3,66436,99464,0.400458107,-1,R
OR,1948,4,32931,65606,0.334199336,-1,R
PA,1948,1,70165,61165,0.5342648289999999,1,D
PA,1948,2,82863,69604,0.54348154,1,D
PA,1948,3,70075,76009,0.47968976799999996,-1,R
PA,1948,4,70129,50236,0.582636148,1,D
PA,1948,5,77221,75007,0.507271987,1,D
PA,1948,6,65535,86755,0.43033029100000003,-1,R
PA,1948,7,56263,91394,0.38103848799999995,-1,R
PA,1948,8,42878,62229,0.407946188,-1,R
PA,1948,9,36677,74726,0.329228118,-1,R
PA,1948,10,64289,45587,0.585105027,1,D
PA,1948,11,68628,63797,0.518240513,1,D
PA,1948,12,44345,68089,0.394409164,-1,R
PA,1948,13,40415,37261,0.520302281,1,D
PA,1948,14,25484,47715,0.348146833,-1,R
PA,1948,15,30457,48760,0.384475554,-1,R
PA,1948,16,42118,84997,0.331337765,-1,R
PA,1948,17,21339,38735,0.355211905,-1,R
PA,1948,18,46586,81704,0.36313040799999996,-1,R
PA,1948,19,24800,43520,0.36299765799999995,-1,R
PA,1948,20,54041,37904,0.587753548,1,D
PA,1948,21,54152,46701,0.5369399029999999,1,D
PA,1948,22,30454,46451,0.395995059,-1,R
PA,1948,23,42084,35384,0.5432436620000001,1,D
PA,1948,24,56282,29768,0.654061592,1,D
PA,1948,25,51391,56966,0.474274851,-1,R
PA,1948,26,62061,50005,0.5537897310000001,1,D
PA,1948,27,64943,39517,0.6217020870000001,1,D
PA,1948,28,54402,65276,0.45456976200000004,-1,R
PA,1948,29,63454,53609,0.5420500070000001,1,D
PA,1948,30,56233,56932,0.496911589,-1,R
PA,1948,31,58113,75147,0.436087348,-1,R
PA,1948,32,80600,30328,0.726597433,1,D
PA,1948,33,74508,33107,0.692357013,1,D
RI,1948,1,95045,58209,0.620179571,1,D
RI,1948,2,98586,66672,0.596558109,1,D
SC,1948,1,24529,2989,0.891380188,1,D
SC,1948,2,27677,0,1.0,1,D
SC,1948,3,19181,0,1.0,1,D
SC,1948,4,26098,1410,0.9487421840000001,1,D
SC,1948,5,14544,0,1.0,1,D
SC,1948,6,21703,0,1.0,1,D
SD,1948,1,85957,99062,0.46458471799999995,-1,R
SD,1948,2,18988,36713,0.340891546,-1,R
TN,1948,1,0,54439,0.0,-1,R
TN,1948,2,31743,43849,0.419925389,-1,R
TN,1948,3,44683,20740,0.682986106,1,D
TN,1948,4,21445,11910,0.642932094,1,D
TN,1948,5,27777,0,1.0,1,D
TN,1948,6,28951,6056,0.827006027,1,D
TN,1948,7,28058,0,1.0,1,D
TN,1948,8,25170,11229,0.6915025140000001,1,D
TN,1948,9,26033,2555,0.9106268359999999,1,D
TN,1948,10,49371,0,1.0,1,D
TX,1948,1,40162,0,1.0,1,D
TX,1948,2,55072,3978,0.932633362,1,D
TX,1948,3,36361,4642,0.8867887720000001,1,D
TX,1948,4,38211,0,1.0,1,D
TX,1948,5,66484,0,1.0,1,D
